date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:16	21281/21281	---M--	200	added ('OK')	image/png	etag:%22be339e73f99ed71:0%22	https://uuerp.uttaranchaluniversity.ac.in/img/maintenance.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/img/maintenance.png	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:16	3917/3917	---M--	200	added ('OK')	image/png	etag:%220d1d9d08dd4d41:0%22	https://uuerp.uttaranchaluniversity.ac.in/img/failure.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/img/failure.png	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:35:15%20GMT	https://uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.13.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css)
15:05:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:35:15%20GMT	https://uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.14d41d.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css)
15:05:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:35:18%20GMT	https://uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.15.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css)
15:05:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:35:19%20GMT	https://uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.16.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css)
15:05:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:35:20%20GMT	https://uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.17.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css)
15:05:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:35:21%20GMT	https://uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/fonts/glyphicons-halflings-regular.18.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css)
15:05:25	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont.eot?v=4.1.0	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont862f.eot	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css)
15:05:26	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfontd41d.eot	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css)
15:05:28	83760/83760	---M--	200	added ('OK')	font/x-woff	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont.woff?v=4.1.0	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont862f.woff	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css)
15:05:31	141564/141564	---M--	200	added ('OK')	application/octet-stream	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont862f.ttf	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css)
